Are You a Hosteller?,Restaurant,Is the restaurant available on any online food delivery service like swiggy or zomato?,Do you prefer to go out and eat in this restaurant or order online?,Rating,Please write your favorite dish from this restaurant ,Best cuisines of the restaurant,Approximate Cost for 1 person in this restaurant (according to you),Is the restaurant air conditioned?,How crowded is the restaurant usually?
Yes,Punjabi Dhaba (VIT MAIN GATE),Yes,Order Online,5,Chole bhature,North Indian,200,Yes,Moderately
Yes,ARASAN SJT CANTEEEN (INSIDE VIT),NO,Go out,4,Ghee Masala Dosa,South Indian,150,No,Highly
Yes,TARA MAA (VIT MAIN GATE),NO,Go out,5,Cream chicken,North Indian;Chinese,200,Yes,Highly
Yes,LIMBRA STUDENT RESTARUANT (VIT GATE-2),Yes,Go out,4,Chicken steak,North Indian;Italian,200,No,Moderately
Yes,KFC (VELLORE KATPADI ROAD),Yes,Order Online,5,Chicken Zinger,American,200,Yes,Moderately
Yes,LIMBRA STUDENT RESTARUANT (VIT GATE-2),Yes,Go out,4,Double egg chicken roll,North Indian,60,Yes,Moderately
No,CREAM AND FUDGE (VIT MAIN GATE),Yes,Order Online,2,Latte,North Indian,100,Yes,Highly
Yes,FLO CAFE (VIT MAIN GATE),NO,Go out,3,Juice,Italian,70,Yes,Moderately
Yes,BIHARI DHABA (VIT MAIN GATE),Yes,Go out,3,Biryani,North Indian;South Indian;Chinese,200,Yes,Moderately
Yes,OH CHEAT DAY (VIT MAIN ROAD),Yes,Order Online,4,,North Indian,500,Yes,Moderately
Yes,KFC (VELLORE KATPADI ROAD),Yes,Order Online,3,,American,300,Yes,Highly
Yes,BAMBOO TREE (VIT GATE-3),Yes,Order Online,4,,American,600,Yes,Moderately
Yes,Dosart (VIT GATE-3),Yes,Go out,4,,South Indian,150,Yes,Moderately
No,BAMBOO TREE (VIT GATE-3),Yes,Order Online,4,Malai chaap,South Indian,210,No,Moderately
Yes,THE HOTSTONE KITCHEN (VIT GATE-2),Yes,Order Online,4,,American,600,Yes,Moderately
Yes,LIMRA GARDEN RESTAURANT (VIT MAIN GATE),Not Sure,Go out,5,Salad,Italian,200,Yes,Moderately
Yes,TAPRI (VIT GATE-3),Yes,Go out,5,Nachos,Italian,150,No,Highly
Yes,HART LOUNGE (VIT MAIN GATE),NO,Order Online,4,Corn rice,South Indian;Chinese,150,No,Highly
No,CAFE COFFEE DAY (VIT MAIN ROAD),Yes,Go out,5,Coffee,South Indian;American,180,Yes,Moderately
Yes,CAFE COFFEE DAY (VIT MAIN ROAD),Yes,Go out,5,Cappuccino,American,200,Yes,Moderately
Yes,KFC (VELLORE KATPADI ROAD),Yes,Go out,3,Chicken wings,American,300,Yes,Moderately
Yes,DOMINOS (INSIDE VIT),NO,Go out,2,,American,200,No,Moderately
Yes,TARA MAA (VIT MAIN GATE),NO,Go out,4,Garlic Gobi,North Indian,180,Yes,Highly
Yes,HART LOUNGE (VIT MAIN GATE),Yes,Order Online,1,,North Indian,200,Yes,Moderately
Yes,Dosart (VIT GATE-3),Not Sure,Go out,4,Dosa,South Indian,100,Yes,Moderately
